Maximum CNC 25 LB,"-0.09207",N
Time at Maximum CNC 25 LB,"0.00000",s
Extension at Maximum CNC 25 LB,"-0.00254",mm
Rate 1,"0.14700",mm/s
Start date,"9/14/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"4.22500","0.61476","-12.97788"
"4.25000","0.61839","-13.01323"
"4.27500","0.62209","-13.03914"
"4.30000","0.62581","-13.07065"
"4.32500","0.62951","-13.09442"
"4.35000","0.63313","-13.12917"
"4.37500","0.63679","-13.15513"
"4.40000","0.64049","-13.19133"
"4.42500","0.64420","-13.21425"
"4.45000","0.64792","-13.24477"
"4.47500","0.65162","-13.27200"
"4.50000","0.65538","-13.30261"
"4.52500","0.65979","-13.33114"
"4.55000","0.66427","-13.35462"
"4.57500","0.66786","-13.38426"
"4.60000","0.67091","-13.40647"
"4.62500","0.67408","-13.43990"
"4.65000","0.67743","-13.46005"
"4.67500","0.68097","-13.49393"
"4.70000","0.68456","-13.51341"
"4.72500","0.68823","-13.55281"
"4.75000","0.69194","-13.57243"
"4.77500","0.69551","-13.60868"
"4.80000","0.69910","-13.62872"
"4.82500","0.70277","-13.66249"
"4.85000","0.70654","-13.69045"
"4.87500","0.71025","-13.72052"
"4.90000","0.71389","-13.74908"
"4.92500","0.71752","-13.77095"
"4.95000","0.72117","-13.80813"
"4.97500","0.72489","-13.82919"
"5.00000","0.72861","-13.86607"
"5.02500","0.73234","-13.88816"
"5.05000","0.73596","-13.91974"
"5.07500","0.73959","-13.94563"
"5.10000","0.74332","-13.97328"
"5.12500","0.74705","-14.00528"
"5.15000","0.75080","-14.03022"
"5.17500","0.75445","-14.06310"
"5.20000","0.75809","-14.08530"
"5.22500","0.76172","-14.11588"
"5.25000","0.76541","-14.14492"
"5.27500","0.76915","-14.17192"
"5.30000","0.77285","-14.20257"
"5.32500","0.77648","-14.22730"
"5.35000","0.78010","-14.25935"
"5.37500","0.78380","-14.28152"
"5.40000","0.78750","-14.31315"
"5.42500","0.79121","-14.33659"
"5.45000","0.79488","-14.36766"
"5.47500","0.79853","-14.39409"
"5.50000","0.80222","-14.42528"
"5.52500","0.80590","-14.45092"
"5.55000","0.80964","-14.47975"
"5.57500","0.81334","-14.50413"
"5.60000","0.81696","-14.53128"
"5.62500","0.82058","-14.56065"
"5.65000","0.82429","-14.58820"
"5.67500","0.82800","-14.61336"
"5.70000","0.83170","-14.64004"
"5.72500","0.83539","-14.66653"
"5.75000","0.83904","-14.69661"
"5.77500","0.84271","-14.71979"
"5.80000","0.84635","-14.74968"
"5.82500","0.85011","-14.77233"
"5.85000","0.85382","-14.80477"
"5.87500","0.85747","-14.83021"
"5.90000","0.86104","-14.85469"
"5.92500","0.86471","-14.88611"
"5.95000","0.86844","-14.90863"
"5.97500","0.87217","-14.94389"
"6.00000","0.87587","-14.96261"
"6.02500","0.87946","-14.99716"
"6.05000","0.88310","-15.01418"
"6.07500","0.88676","-15.04813"
"6.10000","0.89050","-15.07317"
"6.12500","0.89421","-15.10440"
"6.15000","0.89782","-15.12986"
"6.17500","0.90142","-15.15830"
"6.20000","0.90512","-15.18569"
"6.22500","0.90885","-15.21379"
"6.25000","0.91257","-15.24356"
"6.27500","0.91624","-15.26792"
"6.30000","0.91988","-15.29889"
"6.32500","0.92350","-15.32237"
"6.35000","0.92718","-15.35752"
"6.37500","0.93093","-15.37558"
"6.40000","0.93462","-15.41304"
"6.42500","0.93826","-15.43118"
"6.45000","0.94185","-15.46845"
"6.47500","0.94556","-15.48863"
"6.50000","0.94923","-15.51911"
"6.52500","0.95294","-15.54734"
"6.55000","0.95664","-15.57246"
"6.57500","0.96027","-15.60663"
"6.60000","0.96391","-15.62496"
"6.62500","0.96757","-15.66429"
"6.65000","0.97134","-15.68020"
"6.67500","0.97503","-15.71412"
"6.70000","0.97868","-15.73642"
"6.72500","0.98229","-15.76456"
"6.75000","0.98599","-15.79323"
"6.77500","0.98969","-15.81503"
"6.80000","0.99342","-15.85111"
"6.82500","0.99713","-15.86741"
"6.85000","1.00075","-15.90436"
"6.87500","1.00438","-15.92023"
"6.90000","1.00806","-15.95746"
"6.92500","1.01181","-15.97263"
"6.95000","1.01552","-16.01090"
"6.97500","1.01918","-16.02798"
"7.00000","1.02278","-16.06252"
"7.02500","1.02645","-16.08285"
"7.05000","1.03007","-16.11098"
"7.07500","1.03379","-16.13932"
"7.10000","1.03750","-16.15891"
"7.12500","1.04114","-16.19749"
