Maximum CNC 25 LB,3.75536,N,
Time at Maximum CNC 25 LB,15.975,s,
Extension at Maximum CNC 25 LB,23.4379,mm,
Rate 1,1.469,mm/s,
Start date,9/12/2021,,
Specimen label,,,
,,,
Time,Extension,CNC 25 LB,
(s),(mm),(N),
3.825,5.58764,-36.48264,36.48264
3.85,5.62419,-36.68034,36.68034
3.875,5.66082,-36.87961,36.87961
3.9,5.6975,-37.07734,37.07734
3.925,5.73453,-37.27644,37.27644
3.95,5.77169,-37.46675,37.46675
3.975,5.80855,-37.66241,37.66241
4,5.84536,-37.85904,37.85904
4.025,5.88221,-38.05283,38.05283
4.05,5.91919,-38.24867,38.24867
4.075,5.95601,-38.43721,38.43721
4.1,5.9927,-38.62978,38.62978
4.125,6.02947,-38.82336,38.82336
4.15,6.06623,-39.01957,39.01957
4.175,6.10291,-39.21726,39.21726
4.2,6.13954,-39.42373,39.42373
4.225,6.17618,-39.64308,39.64308
4.25,6.21282,-39.8609,39.8609
4.275,6.24954,-40.07896,40.07896
4.3,6.28618,-40.29594,40.29594
4.325,6.32284,-40.50561,40.50561
4.35,6.35958,-40.71186,40.71186
4.375,6.39644,-40.90995,40.90995
4.4,6.43329,-41.10412,41.10412
4.425,6.46995,-41.29374,41.29374
4.45,6.50652,-41.48056,41.48056
4.475,6.54325,-41.6693,41.6693
4.5,6.58005,-41.8551,41.8551
4.525,6.61697,-42.04451,42.04451
4.55,6.65403,-42.2275,42.2275
4.575,6.69133,-42.41089,42.41089
4.6,6.72888,-42.59462,42.59462
4.625,6.7656,-42.77911,42.77911
4.65,6.80199,-42.96102,42.96102
4.675,6.83843,-43.1414,43.1414
4.7,6.87486,-43.32406,43.32406
4.725,6.91123,-43.50653,43.50653
4.75,6.94773,-43.68753,43.68753
4.775,6.9843,-43.86827,43.86827
4.8,7.02107,-44.04853,44.04853
4.825,7.05789,-44.23104,44.23104
4.85,7.0946,-44.41517,44.41517
4.875,7.13126,-44.60686,44.60686
4.9,7.16792,-44.80546,44.80546
4.925,7.20467,-45.00185,45.00185
4.95,7.24155,-45.19464,45.19464
4.975,7.27852,-45.38394,45.38394
5,7.31602,-45.57146,45.57146
5.025,7.35296,-45.75222,45.75222
5.05,7.38939,-45.93005,45.93005
5.075,7.42587,-46.10737,46.10737
5.1,7.46239,-46.28047,46.28047
5.125,7.49891,-46.45235,46.45235
5.15,7.53537,-46.62217,46.62217
5.175,7.57187,-46.7924,46.7924
5.2,7.60847,-46.9628,46.9628
5.225,7.64519,-47.13388,47.13388
