Maximum CNC 25 LB,3.75536,N,
Time at Maximum CNC 25 LB,15.975,s,
Extension at Maximum CNC 25 LB,23.4379,mm,
Rate 1,1.469,mm/s,
Start date,9/12/2021,,
Specimen label,,,
,,,
Time,Extension,CNC 25 LB,
(s),(mm),(N),
16.6,24.3568,3.65034,-3.65034
16.625,24.39358,3.65081,-3.65081
16.65,24.43024,3.6493,-3.6493
16.675,24.46695,3.6513,-3.6513
16.7,24.50363,3.6511,-3.6511
16.725,24.54024,3.65006,-3.65006
16.75,24.57682,3.64959,-3.64959
16.775,24.61351,3.65077,-3.65077
16.8,24.65026,3.65069,-3.65069
16.825,24.68678,3.65027,-3.65027
16.85,24.72371,3.65066,-3.65066
16.875,24.76093,3.65112,-3.65112
16.9,24.79736,3.6508,-3.6508
16.925,24.83376,3.65062,-3.65062
16.95,24.87037,3.64981,-3.64981
16.975,24.90711,3.65088,-3.65088
17,24.94394,3.65084,-3.65084
17.025,24.98066,3.64963,-3.64963
17.05,25.01745,3.65066,-3.65066
17.075,25.05435,3.65207,-3.65207
17.1,25.09123,3.65038,-3.65038
17.125,25.12799,3.64731,-3.64731
17.15,25.16449,3.65094,-3.65094
17.175,25.20103,3.64939,-3.64939
17.2,25.23758,3.65264,-3.65264
17.225,25.2745,3.64976,-3.64976
17.25,25.31137,3.65037,-3.65037
17.275,25.34794,3.64979,-3.64979
17.3,25.38451,3.65082,-3.65082
17.325,25.42169,3.65125,-3.65125
17.35,25.45864,3.65011,-3.65011
17.375,25.49518,3.65098,-3.65098
17.4,25.5318,3.64948,-3.64948
17.425,25.56844,3.64984,-3.64984
17.45,25.60514,3.65166,-3.65166
17.475,25.64196,3.65085,-3.65085
17.5,25.67872,3.64969,-3.64969
17.525,25.7155,3.64943,-3.64943
17.55,25.75225,3.64997,-3.64997
17.575,25.78903,3.65107,-3.65107
17.6,25.82592,3.65063,-3.65063
17.625,25.8628,3.6499,-3.6499
17.65,25.89951,3.6502,-3.6502
17.675,25.93605,3.65103,-3.65103
17.7,25.97262,3.65037,-3.65037
17.725,26.00923,3.64943,-3.64943
17.75,26.04585,3.65056,-3.65056
17.775,26.08252,3.65085,-3.65085
17.8,26.11927,3.65114,-3.65114
17.825,26.15611,3.65035,-3.65035
17.85,26.19297,3.65112,-3.65112
17.875,26.23009,3.65032,-3.65032
17.9,26.26745,3.65033,-3.65033
17.925,26.30402,3.65037,-3.65037
17.95,26.34057,3.65055,-3.65055
17.975,26.37723,3.6507,-3.6507
18,26.41385,3.65016,-3.65016
18.025,26.45047,3.65025,-3.65025
18.05,26.48696,3.65098,-3.65098
18.075,26.52353,3.65084,-3.65084
18.1,26.56015,3.64963,-3.64963
18.125,26.59677,3.64935,-3.64935
18.15,26.63346,3.65109,-3.65109
18.175,26.67012,3.6511,-3.6511
18.2,26.70681,3.65051,-3.65051
18.225,26.74345,3.65033,-3.65033
18.25,26.7801,3.65005,-3.65005
18.275,26.81683,3.64994,-3.64994
18.3,26.85388,3.65068,-3.65068
18.325,26.89132,3.65038,-3.65038
18.35,26.92865,3.65168,-3.65168
18.375,26.96525,3.64993,-3.64993
18.4,27.00173,3.65034,-3.65034
18.425,27.03834,3.64957,-3.64957
18.45,27.07494,3.65101,-3.65101
18.475,27.11143,3.65029,-3.65029
18.5,27.14797,3.65061,-3.65061
18.525,27.18464,3.6509,-3.6509
18.55,27.22139,3.65055,-3.65055
18.575,27.25812,3.65058,-3.65058
18.6,27.29489,3.65065,-3.65065
18.625,27.33166,3.65043,-3.65043
18.65,27.36859,3.6513,-3.6513
18.675,27.40522,3.65041,-3.65041
18.7,27.44176,3.64949,-3.64949
18.725,27.47842,3.65028,-3.65028
18.75,27.51511,3.65103,-3.65103
18.775,27.55187,3.65029,-3.65029
18.8,27.58867,3.65002,-3.65002
18.825,27.62552,3.65035,-3.65035
18.85,27.66252,3.6506,-3.6506
18.875,27.69944,3.64994,-3.64994
18.9,27.73611,3.64987,-3.64987
18.925,27.77263,3.65016,-3.65016
18.95,27.80923,3.65027,-3.65027
18.975,27.84593,3.65048,-3.65048
19,27.88267,3.65058,-3.65058
19.025,27.92004,3.65015,-3.65015
19.05,27.95693,3.65072,-3.65072
19.075,27.99339,3.64998,-3.64998
