Maximum CNC 25 LB,"0.07675",N
Time at Maximum CNC 25 LB,"831.56500",s
Extension at Maximum CNC 25 LB,"12.14125",mm
Rate 1,"0.01460",mm/s
Start date,"9/13/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"0.00000","0.00127","0.07462"
"0.02500","0.00127","0.06468"
"0.05000","0.00127","0.07310"
"0.07500","0.00119","0.06015"
"0.10000","0.00037","0.07583"
"0.12500","-0.00002","0.07029"
"0.15000","-0.00005","0.07410"
"0.17500","-0.00001","0.06505"
"0.20000","0.00000","0.06415"
"0.22500","0.00000","0.06866"
"0.25000","0.00000","0.06415"
"0.27500","0.00000","0.06541"
"0.30000","0.00000","0.05366"
"0.32500","0.00000","0.05733"
"0.35000","0.00000","0.04741"
"0.37500","0.00000","0.04897"
"0.40000","0.00000","0.03616"
"0.42500","0.00000","0.03155"
"0.45000","0.00000","0.01860"
"0.47500","0.00000","0.01583"
"0.50000","0.00067","0.00147"
"0.52500","0.00123","-0.00694"
"0.55000","0.00132","-0.02252"
"0.57500","0.00129","-0.03238"
"0.60000","0.00187","-0.04491"
"0.62500","0.00289","-0.05756"
"0.65000","0.00414","-0.06948"
"0.67500","0.00520","-0.08026"
"0.70000","0.00615","-0.08418"
"0.72500","0.00662","-0.09903"
"0.75000","0.00741","-0.10123"
"0.77500","0.00790","-0.11527"
"0.80000","0.00869","-0.11310"
"0.82500","0.00926","-0.12882"
"0.85000","0.01001","-0.12758"
"0.87500","0.01034","-0.14002"
"0.90000","0.01114","-0.13862"
"0.92500","0.01146","-0.15043"
"0.95000","0.01177","-0.15196"
"0.97500","0.01251","-0.16189"
"1.00000","0.01275","-0.16441"
"1.02500","0.01330","-0.17285"
"1.05000","0.01390","-0.17443"
"1.07500","0.01427","-0.18007"
"1.10000","0.01503","-0.18520"
"1.12500","0.01529","-0.19213"
"1.15000","0.01572","-0.20069"
"1.17500","0.01639","-0.19995"
"1.20000","0.01656","-0.20963"
"1.22500","0.01678","-0.20590"
"1.25000","0.01755","-0.21953"
"1.27500","0.01782","-0.21612"
"1.30000","0.01817","-0.22977"
"1.32500","0.01889","-0.22937"
"1.35000","0.01911","-0.23815"
"1.37500","0.01985","-0.24069"
"1.40000","0.02032","-0.24405"
"1.42500","0.02037","-0.25129"
"1.45000","0.02102","-0.25031"
"1.47500","0.02156","-0.25869"
"1.50000","0.02164","-0.25956"
"1.52500","0.02172","-0.26884"
"1.55000","0.02252","-0.26934"
"1.57500","0.02288","-0.27520"
"1.60000","0.02292","-0.27858"
"1.62500","0.02367","-0.28591"
"1.65000","0.02413","-0.28618"
"1.67500","0.02429","-0.29460"
"1.70000","0.02508","-0.29233"
"1.72500","0.02543","-0.30668"
"1.75000","0.02550","-0.30268"
"1.77500","0.02628","-0.31178"
"1.80000","0.02668","-0.30820"
"1.82500","0.02672","-0.31778"
"1.85000","0.02676","-0.32063"
"1.87500","0.02756","-0.32382"
"1.90000","0.02796","-0.33227"
"1.92500","0.02799","-0.32986"
"1.95000","0.02848","-0.34098"
"1.97500","0.02912","-0.33739"
"2.00000","0.02926","-0.34970"
"2.02500","0.02981","-0.34736"
"2.05000","0.03041","-0.35441"
"2.07500","0.03053","-0.35484"
"2.10000","0.03066","-0.36297"
"2.12500","0.03146","-0.36692"
"2.15000","0.03178","-0.36818"
"2.17500","0.03179","-0.37191"
"2.20000","0.03197","-0.37797"
"2.22500","0.03276","-0.38196"
"2.25000","0.03306","-0.38390"
"2.27500","0.03306","-0.39037"
"2.30000","0.03375","-0.39330"
"2.32500","0.03426","-0.40071"
"2.35000","0.03434","-0.39925"
"2.37500","0.03503","-0.40757"
"2.40000","0.03554","-0.40658"
"2.42500","0.03561","-0.41544"
"2.45000","0.03579","-0.41501"
"2.47500","0.03658","-0.42400"
"2.50000","0.03687","-0.42629"
"2.52500","0.03687","-0.43163"
"2.55000","0.03722","-0.43184"
"2.57500","0.03794","-0.43862"
"2.60000","0.03815","-0.44230"
"2.62500","0.03820","-0.44872"
"2.65000","0.03900","-0.45028"
"2.67500","0.03939","-0.45551"
"2.70000","0.03953","-0.45722"
"2.72500","0.04032","-0.46255"
"2.75000","0.04067","-0.46676"
"2.77500","0.04068","-0.47037"
"2.80000","0.04125","-0.47521"
"2.82500","0.04185","-0.47487"
"2.85000","0.04196","-0.48228"
"2.87500","0.04193","-0.48454"
"2.90000","0.04253","-0.49324"
"2.92500","0.04312","-0.49158"
"2.95000","0.04323","-0.49746"
"2.97500","0.04333","-0.49984"
"3.00000","0.04413","-0.50876"
"3.02500","0.04448","-0.50893"
"3.05000","0.04472","-0.51522"
"3.07500","0.04549","-0.51651"
"3.10000","0.04576","-0.52307"
"3.12500","0.04584","-0.52615"
"3.15000","0.04663","-0.52610"
"3.17500","0.04701","-0.53315"
"3.20000","0.04703","-0.53661"
"3.22500","0.04707","-0.54345"
"3.25000","0.04787","-0.54374"
"3.27500","0.04828","-0.54876"
"3.30000","0.04831","-0.55019"
"3.32500","0.04856","-0.55599"
"3.35000","0.04933","-0.56032"
"3.37500","0.04958","-0.56544"
"3.40000","0.04987","-0.56995"
"3.42500","0.05061","-0.57156"
"3.45000","0.05085","-0.57803"
"3.47500","0.05084","-0.57726"
"3.50000","0.05156","-0.58434"
"3.52500","0.05205","-0.58483"
"3.55000","0.05212","-0.59501"
"3.57500","0.05215","-0.59743"
"3.60000","0.05295","-0.59944"
"3.62500","0.05335","-0.60206"
"3.65000","0.05339","-0.60506"
"3.67500","0.05372","-0.61731"
"3.70000","0.05445","-0.61449"
"3.72500","0.05466","-0.62392"
"3.75000","0.05504","-0.61924"
"3.77500","0.05574","-0.62988"
"3.80000","0.05593","-0.63115"
"3.82500","0.05592","-0.63659"
"3.85000","0.05663","-0.64014"
"3.87500","0.05713","-0.64191"
"3.90000","0.05720","-0.64918"
"3.92500","0.05732","-0.65110"
"3.95000","0.05813","-0.65671"
"3.97500","0.05845","-0.66193"
"4.00000","0.05846","-0.66275"
"4.02500","0.05907","-0.67447"
"4.05000","0.05964","-0.66659"
"4.07500","0.05974","-0.67887"
"4.10000","0.06027","-0.66886"
"4.12500","0.06089","-0.69183"
"4.15000","0.06101","-0.68671"
"4.17500","0.06140","-0.70164"
"4.20000","0.06210","-0.68955"
"4.22500","0.06228","-0.69721"
"4.25000","0.06226","-0.70189"
"4.27500","0.06254","-0.70922"
"4.30000","0.06331","-0.71355"
"4.32500","0.06355","-0.70860"
"4.35000","0.06354","-0.72348"
"4.37500","0.06422","-0.72082"
"4.40000","0.06474","-0.73530"
"4.42500","0.06483","-0.72482"
"4.45000","0.06553","-0.73886"
"4.47500","0.06602","-0.73173"
"4.50000","0.06609","-0.74639"
"4.52500","0.06646","-0.74363"
"4.55000","0.06717","-0.75327"
"4.57500","0.06736","-0.75217"
"4.60000","0.06734","-0.75834"
"4.62500","0.06779","-0.76110"
"4.65000","0.06847","-0.76302"
"4.67500","0.06863","-0.76459"
"4.70000","0.06861","-0.76721"
"4.72500","0.06929","-0.78068"
"4.75000","0.06982","-0.78705"
"4.77500","0.07007","-0.79337"
"4.80000","0.07085","-0.78078"
"4.82500","0.07116","-0.79002"
"4.85000","0.07116","-0.78480"
"4.87500","0.07145","-0.80826"
"4.90000","0.07220","-0.80070"
"4.92500","0.07244","-0.81641"
"4.95000","0.07242","-0.80764"
"4.97500","0.07283","-0.81925"
"5.00000","0.07353","-0.81607"
"5.02500","0.07371","-0.82204"
"5.05000","0.07369","-0.82685"
"5.07500","0.07438","-0.82899"
"5.10000","0.07490","-0.83904"
"5.12500","0.07501","-0.83780"
"5.15000","0.07577","-0.84742"
"5.17500","0.07620","-0.84116"
"5.20000","0.07625","-0.85716"
"5.22500","0.07647","-0.84986"
"5.25000","0.07725","-0.86370"
"5.27500","0.07751","-0.85257"
"5.30000","0.07751","-0.86922"
"5.32500","0.07788","-0.86842"
"5.35000","0.07860","-0.87970"
"5.37500","0.07879","-0.87766"
"5.40000","0.07885","-0.87857"
"5.42500","0.07965","-0.88705"
"5.45000","0.08003","-0.88690"
"5.47500","0.08018","-0.89709"
"5.50000","0.08097","-0.89382"
"5.52500","0.08131","-0.90652"
"5.55000","0.08132","-0.90404"
"5.57500","0.08191","-0.90976"
"5.60000","0.08250","-0.90785"
"5.62500","0.08260","-0.91241"
"5.65000","0.08257","-0.91846"
"5.67500","0.08308","-0.92490"
"5.70000","0.08373","-0.92946"
"5.72500","0.08387","-0.93352"
"5.75000","0.08409","-0.93348"
"5.77500","0.08486","-0.93641"
"5.80000","0.08513","-0.93853"
"5.82500","0.08526","-0.94695"
"5.85000","0.08605","-0.94868"
"5.87500","0.08639","-0.95735"
"5.90000","0.08653","-0.96039"
"5.92500","0.08732","-0.96523"
"5.95000","0.08766","-0.96071"
"5.97500","0.08767","-0.96510"
"6.00000","0.08768","-0.96954"
"6.02500","0.08847","-0.97786"
"6.05000","0.08891","-0.98388"
"6.07500","0.08895","-0.98425"
"6.10000","0.08936","-0.98950"
"6.12500","0.09005","-0.98648"
"6.15000","0.09022","-0.99549"
"6.17500","0.09052","-0.99643"
"6.20000","0.09126","-1.00857"
"6.22500","0.09149","-1.00555"
"6.25000","0.09149","-1.01045"
"6.27500","0.09225","-1.01252"
"6.30000","0.09271","-1.01914"
"6.32500","0.09276","-1.02314"
"6.35000","0.09273","-1.02105"
"6.37500","0.09344","-1.02979"
"6.40000","0.09396","-1.02959"
"6.42500","0.09403","-1.04461"
"6.45000","0.09442","-1.03807"
"6.47500","0.09512","-1.04878"
"6.50000","0.09530","-1.04204"
"6.52500","0.09553","-1.05659"
"6.55000","0.09630","-1.05284"
"6.57500","0.09656","-1.06287"
"6.60000","0.09656","-1.06340"
"6.62500","0.09716","-1.06920"
"6.65000","0.09774","-1.07395"
"6.67500","0.09784","-1.07469"
"6.70000","0.09781","-1.08137"
"6.72500","0.09850","-1.07748"
"6.75000","0.09903","-1.08982"
"6.77500","0.09911","-1.08908"
"6.80000","0.09964","-1.10256"
"6.82500","0.10025","-1.09461"
"6.85000","0.10038","-1.10461"
"6.87500","0.10075","-1.10145"
"6.90000","0.10146","-1.11614"
"6.92500","0.10165","-1.11108"
"6.95000","0.10169","-1.11767"
"6.97500","0.10248","-1.11930"
"7.00000","0.10288","-1.12727"
"7.02500","0.10292","-1.13003"
"7.05000","0.10297","-1.13149"
"7.07500","0.10378","-1.13557"
"7.10000","0.10416","-1.13677"
"7.12500","0.10419","-1.14735"
"7.15000","0.10465","-1.14742"
"7.17500","0.10531","-1.15639"
"7.20000","0.10546","-1.15147"
"7.22500","0.10591","-1.16145"
"7.25000","0.10657","-1.15924"
"7.27500","0.10673","-1.17176"
"7.30000","0.10706","-1.16668"
"7.32500","0.10779","-1.17579"
"7.35000","0.10800","-1.17413"
"7.37500","0.10798","-1.18507"
"7.40000","0.10829","-1.18407"
"7.42500","0.10904","-1.18864"
"7.45000","0.10927","-1.18994"
"7.47500","0.10925","-1.19616"
"7.50000","0.10988","-1.20383"
"7.52500","0.11044","-1.20318"
"7.55000","0.11054","-1.20847"
"7.57500","0.11111","-1.20955"
"7.60000","0.11170","-1.21813"
"7.62500","0.11181","-1.21753"
"7.65000","0.11198","-1.22309"
"7.67500","0.11277","-1.22318"
"7.70000","0.11307","-1.23188"
"7.72500","0.11307","-1.23155"
"7.75000","0.11330","-1.24087"
"7.77500","0.11408","-1.23990"
"7.80000","0.11434","-1.24562"
"7.82500","0.11434","-1.24583"
"7.85000","0.11493","-1.25328"
"7.87500","0.11551","-1.25611"
"7.90000","0.11562","-1.26043"
"7.92500","0.11616","-1.26388"
"7.95000","0.11677","-1.27076"
"7.97500","0.11689","-1.27487"
"8.00000","0.11701","-1.27482"
"8.02500","0.11781","-1.27508"
"8.05000","0.11814","-1.28156"
"8.07500","0.11815","-1.28995"
"8.10000","0.11843","-1.29156"
"8.12500","0.11919","-1.29818"
"8.15000","0.11943","-1.29439"
"8.17500","0.11941","-1.30569"
"8.20000","0.12004","-1.29959"
"8.22500","0.12061","-1.31717"
"8.25000","0.12071","-1.30921"
"8.27500","0.12142","-1.32771"
"8.30000","0.12191","-1.31588"
"8.32500","0.12197","-1.33041"
"8.35000","0.12215","-1.32299"
"8.37500","0.12294","-1.33445"
"8.40000","0.12323","-1.33358"
"8.42500","0.12323","-1.34299"
"8.45000","0.12355","-1.34850"
"8.47500","0.12429","-1.34690"
"8.50000","0.12451","-1.35318"
"8.52500","0.12453","-1.35128"
"8.55000","0.12530","-1.36468"
"8.57500","0.12573","-1.36033"
"8.60000","0.12586","-1.37481"
"8.62500","0.12664","-1.36549"
"8.65000","0.12702","-1.38111"
"8.67500","0.12704","-1.37200"
"8.70000","0.12756","-1.38854"
"8.72500","0.12819","-1.38061"
"8.75000","0.12832","-1.39236"
"8.77500","0.12829","-1.38797"
"8.80000","0.12882","-1.39895"
"8.82500","0.12946","-1.40092"
"8.85000","0.12959","-1.40636"
"8.87500","0.12974","-1.40599"
"8.90000","0.13053","-1.40907"
"8.92500","0.13084","-1.41382"
"8.95000","0.13090","-1.41940"
"8.97500","0.13168","-1.42462"
"9.00000","0.13209","-1.42455"
"9.02500","0.13213","-1.43104"
"9.05000","0.13272","-1.43259"
"9.07500","0.13330","-1.43930"
"9.10000","0.13340","-1.43586"
"9.12500","0.13337","-1.44566"
"9.15000","0.13380","-1.44614"
"9.17500","0.13450","-1.45508"
"9.20000","0.13467","-1.45463"
"9.22500","0.13469","-1.46247"
"9.25000","0.13547","-1.46227"
"9.27500","0.13590","-1.46721"
"9.30000","0.13598","-1.47021"
"9.32500","0.13674","-1.47606"
"9.35000","0.13717","-1.47975"
"9.37500","0.13721","-1.48081"
"9.40000","0.13744","-1.48770"
"9.42500","0.13821","-1.49083"
"9.45000","0.13847","-1.49743"
"9.47500","0.13847","-1.49427"
"9.50000","0.13886","-1.50302"
"9.52500","0.13957","-1.50500"
"9.55000","0.13975","-1.51147"
"9.57500","0.14002","-1.51385"
"9.60000","0.14077","-1.51753"
"9.62500","0.14101","-1.52154"
"9.65000","0.14120","-1.52261"
"9.67500","0.14198","-1.52931"
"9.70000","0.14228","-1.53053"
"9.72500","0.14228","-1.53642"
"9.75000","0.14292","-1.53786"
"9.77500","0.14347","-1.54264"
"9.80000","0.14356","-1.54615"
"9.82500","0.14353","-1.55034"
"9.85000","0.14419","-1.55189"
"9.87500","0.14474","-1.55627"
"9.90000","0.14483","-1.56017"
"9.92500","0.14506","-1.56617"
"9.95000","0.14583","-1.56860"
"9.97500","0.14609","-1.57260"
"10.00000","0.14635","-1.57655"
"10.02500","0.14711","-1.57743"
"10.05000","0.14736","-1.58410"
"10.07500","0.14742","-1.58367"
"10.10000","0.14821","-1.59304"
"10.12500","0.14860","-1.59496"
"10.15000","0.14864","-1.59844"
"10.17500","0.14869","-1.60016"
"10.20000","0.14950","-1.60289"
"10.22500","0.14988","-1.60953"
"10.25000","0.14991","-1.60848"
"10.27500","0.15020","-1.62067"
"10.30000","0.15095","-1.61899"
"10.32500","0.15118","-1.62722"
"10.35000","0.15149","-1.62330"
"10.37500","0.15223","-1.63339"
"10.40000","0.15245","-1.63189"
"10.42500","0.15243","-1.64086"
"10.45000","0.15310","-1.64097"
"10.47500","0.15364","-1.64728"
"10.50000","0.15372","-1.64807"
"10.52500","0.15369","-1.65260"
"10.55000","0.15438","-1.65699"
"10.57500","0.15491","-1.65912"
"10.60000","0.15499","-1.66793"
"10.62500","0.15526","-1.66283"
"10.65000","0.15601","-1.67818"
"10.67500","0.15626","-1.67259"
"10.70000","0.15657","-1.68754"
"10.72500","0.15731","-1.67873"
"10.75000","0.15753","-1.68993"
"10.77500","0.15751","-1.68740"
"10.80000","0.15814","-1.69735"
"10.82500","0.15871","-1.69772"
"10.85000","0.15880","-1.70210"
"10.87500","0.15878","-1.70546"
"10.90000","0.15951","-1.71232"
"10.92500","0.16001","-1.71364"
"10.95000","0.16007","-1.71639"
"10.97500","0.16048","-1.72260"
"11.00000","0.16117","-1.72546"
"11.02500","0.16134","-1.73199"
"11.05000","0.16187","-1.73176"
"11.07500","0.16248","-1.74106"
"11.10000","0.16261","-1.73584"
"11.12500","0.16265","-1.74731"
"11.15000","0.16344","-1.74412"
"11.17500","0.16384","-1.75594"
"11.20000","0.16388","-1.75252"
"11.22500","0.16399","-1.76113"
"11.25000","0.16479","-1.76052"
"11.27500","0.16513","-1.76966"
"11.30000","0.16514","-1.76976"
"11.32500","0.16565","-1.77548"
"11.35000","0.16629","-1.77738"
"11.37500","0.16642","-1.78481"
"11.40000","0.16704","-1.78677"
"11.42500","0.16760","-1.78973"
"11.45000","0.16769","-1.79355"
"11.47500","0.16788","-1.79448"
"11.50000","0.16866","-1.80398"
"11.52500","0.16895","-1.80144"
"11.55000","0.16895","-1.81189"
"11.57500","0.16918","-1.80693"
"11.60000","0.16996","-1.81977"
"11.62500","0.17022","-1.81480"
"11.65000","0.17022","-1.82754"
"11.67500","0.17088","-1.82480"
"11.70000","0.17142","-1.83316"
"11.72500","0.17150","-1.83098"
"11.75000","0.17205","-1.84273"
"11.77500","0.17265","-1.84085"
"11.80000","0.17277","-1.84659"
"11.82500","0.17300","-1.84662"
"11.85000","0.17377","-1.85267"
"11.87500","0.17403","-1.85713"
"11.90000","0.17403","-1.85855"
"11.92500","0.17419","-1.86546"
"11.95000","0.17499","-1.86480"
"11.97500","0.17530","-1.87489"
"12.00000","0.17530","-1.87252"
"12.02500","0.17584","-1.88181"
"12.05000","0.17646","-1.88238"
"12.07500","0.17658","-1.88691"
"12.10000","0.17711","-1.88965"
"12.12500","0.17772","-1.89429"
"12.15000","0.17785","-1.90188"
"12.17500","0.17791","-1.90077"
"12.20000","0.17871","-1.90586"
"12.22500","0.17909","-1.90743"
"12.25000","0.17912","-1.91523"
"12.27500","0.17935","-1.91840"
"12.30000","0.18012","-1.92235"
"12.32500","0.18038","-1.92339"
"12.35000","0.18039","-1.93125"
"12.37500","0.18111","-1.93377"
"12.40000","0.18160","-1.93728"
"12.42500","0.18167","-1.93787"
"12.45000","0.18239","-1.94507"
"12.47500","0.18287","-1.94833"
"12.50000","0.18293","-1.95626"
"12.52500","0.18333","-1.95814"
"12.55000","0.18402","-1.95981"
"12.57500","0.18420","-1.96030"
"12.60000","0.18418","-1.96408"
"12.62500","0.18450","-1.97161"
"12.65000","0.18525","-1.97591"
"12.67500","0.18547","-1.98106"
"12.70000","0.18553","-1.98158"
"12.72500","0.18632","-1.98742"
"12.75000","0.18671","-1.98756"
"12.77500","0.18675","-1.99293"
"12.80000","0.18749","-1.99353"
"12.82500","0.18795","-2.00525"
"12.85000","0.18801","-2.00520"
"12.87500","0.18867","-2.00998"
"12.90000","0.18920","-2.00882"
"12.92500","0.18928","-2.01461"
"12.95000","0.18925","-2.01891"
"12.97500","0.18980","-2.02397"
"13.00000","0.19043","-2.02584"
