Maximum CNC 25 LB,"0.30336",N
Time at Maximum CNC 25 LB,"649.18300",s
Extension at Maximum CNC 25 LB,"9.56821",mm
Rate 1,"0.01474",mm/s
Start date,"9/17/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"0.00000","0.00000","-0.00696"
"0.02500","0.00000","-0.00454"
"0.05000","0.00000","-0.00544"
"0.07500","0.00000","-0.00589"
"0.10000","0.00000","-0.00778"
"0.12500","0.00000","-0.00605"
"0.15000","0.00000","-0.00952"
"0.17500","0.00000","-0.00929"
"0.20000","0.00000","-0.01131"
"0.22500","0.00005","-0.01487"
"0.25000","0.00086","-0.01521"
"0.27500","0.00128","-0.01974"
"0.30000","0.00132","-0.02075"
"0.32500","0.00128","-0.02303"
"0.35000","0.00127","-0.02668"
"0.37500","0.00127","-0.03068"
"0.40000","0.00127","-0.03532"
"0.42500","0.00172","-0.03975"
"0.45000","0.00242","-0.04527"
"0.47500","0.00261","-0.05041"
"0.50000","0.00335","-0.05216"
"0.52500","0.00381","-0.05962"
"0.55000","0.00458","-0.06121"
"0.57500","0.00507","-0.06754"
"0.60000","0.00530","-0.07096"
"0.62500","0.00608","-0.07439"
"0.65000","0.00639","-0.07963"
"0.67500","0.00649","-0.08110"
"0.70000","0.00728","-0.08873"
"0.72500","0.00764","-0.08720"
"0.75000","0.00795","-0.09647"
"0.77500","0.00870","-0.09698"
"0.80000","0.00898","-0.10251"
"0.82500","0.00977","-0.10517"
"0.85000","0.01017","-0.11047"
"0.87500","0.01033","-0.11126"
"0.90000","0.01112","-0.11510"
"0.92500","0.01146","-0.11781"
"0.95000","0.01148","-0.12388"
"0.97500","0.01220","-0.12495"
"1.00000","0.01269","-0.12901"
"1.02500","0.01276","-0.13014"
"1.05000","0.01347","-0.13580"
"1.07500","0.01396","-0.14133"
"1.10000","0.01431","-0.13880"
"1.12500","0.01506","-0.14662"
"1.15000","0.01529","-0.14468"
"1.17500","0.01561","-0.15429"
"1.20000","0.01634","-0.15245"
"1.22500","0.01656","-0.15891"
"1.25000","0.01655","-0.15883"
"1.27500","0.01727","-0.16198"
"1.30000","0.01776","-0.16615"
"1.32500","0.01783","-0.16638"
"1.35000","0.01820","-0.17261"
"1.37500","0.01891","-0.17269"
"1.40000","0.01910","-0.17927"
"1.42500","0.01973","-0.17982"
"1.45000","0.02028","-0.18432"
"1.47500","0.02037","-0.18309"
"1.50000","0.02065","-0.18650"
"1.52500","0.02140","-0.19171"
"1.55000","0.02164","-0.19383"
"1.57500","0.02162","-0.19752"
"1.60000","0.02216","-0.19610"
"1.62500","0.02278","-0.20315"
"1.65000","0.02291","-0.20397"
"1.67500","0.02326","-0.21052"
"1.70000","0.02397","-0.20859"
"1.72500","0.02418","-0.21363"
"1.75000","0.02442","-0.21285"
"1.77500","0.02518","-0.21936"
"1.80000","0.02544","-0.21840"
"1.82500","0.02545","-0.22651"
"1.85000","0.02620","-0.22501"
"1.87500","0.02667","-0.23102"
"1.90000","0.02672","-0.22794"
"1.92500","0.02676","-0.23595"
"1.95000","0.02757","-0.23091"
"1.97500","0.02796","-0.24296"
"2.00000","0.02801","-0.23975"
"2.02500","0.02876","-0.25103"
"2.05000","0.02921","-0.24523"
"2.07500","0.02929","-0.25154"
"2.10000","0.03006","-0.25011"
"2.12500","0.03049","-0.25490"
"2.15000","0.03053","-0.25875"
"2.17500","0.03100","-0.25790"
"2.20000","0.03165","-0.26496"
"2.22500","0.03180","-0.26567"
"2.25000","0.03178","-0.26868"
"2.27500","0.03242","-0.27032"
"2.30000","0.03298","-0.27173"
"2.32500","0.03307","-0.27654"
"2.35000","0.03330","-0.27508"
"2.37500","0.03407","-0.28477"
"2.40000","0.03433","-0.27989"
"2.42500","0.03476","-0.29166"
"2.45000","0.03544","-0.28693"
"2.47500","0.03561","-0.29095"
"2.50000","0.03577","-0.29185"
"2.52500","0.03656","-0.29362"
"2.55000","0.03687","-0.29816"
"2.57500","0.03687","-0.29757"
"2.60000","0.03714","-0.30691"
"2.62500","0.03790","-0.30366"
"2.65000","0.03815","-0.30960"
"2.67500","0.03814","-0.30752"
"2.70000","0.03884","-0.31191"
