Maximum CNC 25 LB,"0.14116",N
Time at Maximum CNC 25 LB,"587.27100",s
Extension at Maximum CNC 25 LB,"8.33734",mm
Rate 1,"0.01420",mm/s
Start date,"9/16/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"0.00000","-0.00127","0.02752"
"0.02500","-0.00127","0.02562"
"0.05000","-0.00127","0.02957"
"0.07500","-0.00127","0.02754"
"0.10000","-0.00127","0.02694"
"0.12500","-0.00127","0.02826"
"0.15000","-0.00127","0.02783"
"0.17500","-0.00127","0.02652"
"0.20000","-0.00127","0.02896"
"0.22500","-0.00127","0.02475"
"0.25000","-0.00127","0.02426"
"0.27500","-0.00127","0.02583"
"0.30000","-0.00127","0.02353"
"0.32500","-0.00127","0.02127"
"0.35000","-0.00127","0.02019"
"0.37500","-0.00127","0.02142"
"0.40000","-0.00127","0.01323"
"0.42500","-0.00127","0.01567"
"0.45000","-0.00127","0.01096"
"0.47500","-0.00127","0.00863"
"0.50000","-0.00127","0.00372"
"0.52500","-0.00116","0.00100"
"0.55000","-0.00034","-0.00294"
"0.57500","0.00006","-0.00988"
"0.60000","0.00088","-0.00992"
"0.62500","0.00171","-0.01718"
"0.65000","0.00250","-0.01544"
"0.67500","0.00346","-0.02154"
"0.70000","0.00408","-0.02339"
"0.72500","0.00489","-0.02869"
"0.75000","0.00517","-0.02808"
"0.77500","0.00596","-0.03109"
"0.80000","0.00636","-0.03500"
"0.82500","0.00695","-0.03433"
"0.85000","0.00755","-0.03776"
"0.87500","0.00806","-0.03958"
"0.90000","0.00876","-0.04148"
"0.92500","0.00906","-0.04343"
"0.95000","0.00986","-0.04672"
"0.97500","0.01019","-0.04480"
"1.00000","0.01023","-0.05124"
"1.02500","0.01098","-0.04778"
"1.05000","0.01143","-0.05111"
"1.07500","0.01151","-0.05261"
"1.10000","0.01228","-0.05628"
"1.12500","0.01271","-0.05886"
"1.15000","0.01316","-0.05596"
"1.17500","0.01384","-0.06178"
