Maximum CNC 25 LB,"0.01113",N
Time at Maximum CNC 25 LB,"0.12500",s
Extension at Maximum CNC 25 LB,"0.00127",mm
Rate 1,"0.01180",mm/s
Start date,"9/22/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"0.00000","0.00127","0.01076"
"0.02500","0.00127","0.00866"
"0.05000","0.00127","0.01004"
"0.07500","0.00127","0.00849"
"0.10000","0.00127","0.01004"
"0.12500","0.00127","0.01113"
"0.15000","0.00127","0.00985"
"0.17500","0.00127","0.01004"
"0.20000","0.00127","0.00815"
"0.22500","0.00127","0.00875"
"0.25000","0.00127","0.00976"
"0.27500","0.00127","0.00782"
"0.30000","0.00127","0.00724"
"0.32500","0.00127","0.00818"
"0.35000","0.00127","0.00440"
"0.37500","0.00127","0.00593"
"0.40000","0.00127","0.00287"
"0.42500","0.00127","0.00118"
"0.45000","0.00127","-0.00085"
"0.47500","0.00127","-0.00314"
"0.50000","0.00127","-0.00470"
"0.52500","0.00127","-0.01013"
"0.55000","0.00127","-0.01052"
"0.57500","0.00127","-0.01895"
"0.60000","0.00127","-0.01853"
"0.62500","0.00127","-0.02424"
"0.65000","0.00166","-0.03091"
"0.67500","0.00241","-0.03532"
"0.70000","0.00338","-0.04006"
"0.72500","0.00440","-0.04221"
"0.75000","0.00525","-0.04733"
"0.77500","0.00615","-0.04755"
"0.80000","0.00692","-0.05143"
"0.82500","0.00756","-0.05274"
"0.85000","0.00795","-0.05402"
"0.87500","0.00870","-0.05663"
"0.90000","0.00894","-0.05952"
"0.92500","0.00917","-0.06028"
"0.95000","0.00994","-0.06243"
"0.97500","0.01020","-0.06235"
"1.00000","0.01034","-0.06477"
"1.02500","0.01113","-0.06555"
"1.05000","0.01146","-0.06981"
"1.07500","0.01185","-0.06959"
"1.10000","0.01256","-0.06881"
"1.12500","0.01275","-0.07284"
"1.15000","0.01273","-0.07051"
"1.17500","0.01333","-0.07520"
"1.20000","0.01392","-0.07408"
"1.22500","0.01402","-0.07746"
"1.25000","0.01400","-0.07802"
"1.27500","0.01475","-0.07940"
"1.30000","0.01523","-0.07980"
"1.32500","0.01529","-0.07876"
"1.35000","0.01536","-0.08514"
"1.37500","0.01617","-0.08256"
"1.40000","0.01653","-0.08563"
"1.42500","0.01659","-0.08628"
"1.45000","0.01735","-0.08517"
"1.47500","0.01778","-0.08915"
"1.50000","0.01783","-0.08572"
"1.52500","0.01780","-0.09160"
"1.55000","0.01852","-0.08933"
"1.57500","0.01903","-0.09099"
"1.60000","0.01910","-0.09554"
"1.62500","0.01907","-0.09152"
"1.65000","0.01916","-0.09597"
"1.67500","0.01998","-0.09257"
"1.70000","0.02035","-0.09588"
"1.72500","0.02036","-0.09866"
"1.75000","0.02043","-0.10018"
"1.77500","0.02124","-0.10255"
"1.80000","0.02161","-0.09918"
"1.82500","0.02163","-0.10293"
"1.85000","0.02187","-0.09907"
"1.87500","0.02264","-0.10142"
"1.90000","0.02290","-0.10627"
"1.92500","0.02290","-0.10691"
"1.95000","0.02354","-0.11101"
"1.97500","0.02409","-0.10782"
"2.00000","0.02418","-0.10638"
"2.02500","0.02415","-0.10602"
"2.05000","0.02413","-0.10848"
"2.07500","0.02448","-0.11279"
"2.10000","0.02523","-0.11338"
"2.12500","0.02545","-0.11664"
"2.15000","0.02543","-0.11419"
"2.17500","0.02580","-0.11284"
"2.20000","0.02652","-0.11687"
"2.22500","0.02672","-0.11353"
"2.25000","0.02670","-0.11932"
"2.27500","0.02701","-0.11882"
"2.30000","0.02776","-0.12185"
"2.32500","0.02799","-0.12249"
"2.35000","0.02797","-0.12041"
"2.37500","0.02822","-0.12276"
"2.40000","0.02900","-0.11956"
"2.42500","0.02926","-0.12691"
"2.45000","0.02925","-0.12441"
"2.47500","0.02922","-0.12626"
"2.50000","0.02950","-0.12839"
"2.52500","0.03028","-0.12782"
"2.55000","0.03053","-0.12892"
"2.57500","0.03052","-0.12785"
"2.60000","0.03050","-0.13125"
"2.62500","0.03127","-0.13080"
"2.65000","0.03174","-0.13425"
"2.67500","0.03180","-0.13509"
"2.70000","0.03209","-0.13413"
"2.72500","0.03284","-0.13654"
"2.75000","0.03307","-0.13558"
"2.77500","0.03305","-0.13642"
"2.80000","0.03302","-0.13905"
"2.82500","0.03368","-0.13884"
"2.85000","0.03425","-0.14059"
"2.87500","0.03434","-0.14189"
"2.90000","0.03431","-0.14323"
"2.92500","0.03450","-0.14368"
"2.95000","0.03531","-0.14286"
"2.97500","0.03560","-0.14619"
"3.00000","0.03560","-0.14445"
"3.02500","0.03562","-0.14909"
"3.05000","0.03643","-0.14777"
"3.07500","0.03684","-0.14852"
"3.10000","0.03688","-0.15086"
"3.12500","0.03727","-0.14957"
"3.15000","0.03797","-0.15148"
"3.17500","0.03815","-0.14978"
"3.20000","0.03813","-0.15545"
"3.22500","0.03819","-0.15445"
"3.25000","0.03900","-0.15311"
"3.27500","0.03939","-0.15767"
"3.30000","0.03942","-0.15491"
"3.32500","0.03938","-0.15705"
"3.35000","0.03950","-0.15719"
"3.37500","0.04032","-0.15879"
"3.40000","0.04067","-0.15958"
"3.42500","0.04068","-0.16064"
"3.45000","0.04069","-0.16402"
"3.47500","0.04148","-0.16093"
"3.50000","0.04192","-0.16563"
"3.52500","0.04196","-0.16277"
"3.55000","0.04205","-0.16427"
"3.57500","0.04285","-0.16845"
"3.60000","0.04321","-0.16658"
"3.62500","0.04322","-0.16926"
"3.65000","0.04335","-0.16827"
"3.67500","0.04416","-0.16995"
"3.70000","0.04448","-0.16915"
"3.72500","0.04449","-0.17103"
"3.75000","0.04446","-0.17224"
"3.77500","0.04453","-0.17155"
"3.80000","0.04536","-0.17631"
"3.82500","0.04574","-0.17429"
"3.85000","0.04577","-0.17584"
"3.87500","0.04573","-0.17652"
"3.90000","0.04636","-0.17710"
"3.92500","0.04694","-0.17737"
"3.95000","0.04704","-0.17981"
"3.97500","0.04706","-0.18151"
"4.00000","0.04785","-0.18014"
"4.02500","0.04827","-0.18108"
"4.05000","0.04831","-0.18354"
"4.07500","0.04827","-0.18255"
"4.10000","0.04890","-0.18432"
"4.12500","0.04948","-0.18536"
"4.15000","0.04958","-0.18492"
"4.17500","0.04955","-0.18832"
"4.20000","0.04953","-0.18771"
"4.22500","0.05019","-0.18857"
